Year;Month;City;URL event;Level 2 site;Visitors;Visits;Bounces;Page views;Time spent;Bounce rate
2022;"August";"Apeldoorn";"https://omroepzwart.nl/";"omroepzwart";55;62;32;139;1385336;0.516129
2022;"August";"Appelscha";"https://omroepzwart.nl/";"omroepzwart";2;2;1;4;155055;0.5
2022;"August";"Appingedam";"https://omroepzwart.nl/";"omroepzwart";2;2;0;5;23266;0
2022;"August";"Arnhem";"https://omroepzwart.nl/";"omroepzwart";74;76;35;200;6603124;0.460526
2022;"August";"Ashburn";"https://omroepzwart.nl/";"omroepzwart";11;11;11;11;0;1
2022;"August";"Asperen";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Assen";"https://omroepzwart.nl/";"omroepzwart";10;10;2;27;499398;0.2
2022;"August";"Assendelft";"https://omroepzwart.nl/";"omroepzwart";14;16;8;42;952794;0.5
2022;"August";"Asten";"https://omroepzwart.nl/";"omroepzwart";1;1;0;3;50443;0
2022;"August";"Athens";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Austerlitz";"https://omroepzwart.nl/";"omroepzwart";1;1;0;7;49819;0
2022;"August";"Azambuja";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Baak";"https://omroepzwart.nl/";"omroepzwart";1;1;0;2;7049;0
2022;"August";"Baarlo";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Baarn";"https://omroepzwart.nl/";"omroepzwart";6;6;4;11;446575;0.666667
2022;"August";"Baasrode";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Babberich";"https://omroepzwart.nl/";"omroepzwart";1;2;1;5;37711;0.5
2022;"August";"Badhoevedorp";"https://omroepzwart.nl/";"omroepzwart";10;10;4;42;3179178;0.4
2022;"August";"Baflo";"https://omroepzwart.nl/";"omroepzwart";1;1;0;2;6154;0
2022;"August";"Bakel";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Balgoij";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Balkbrug";"https://omroepzwart.nl/";"omroepzwart";1;2;1;4;29745;0.5
2022;"August";"Banjar anyar";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Bant";"https://omroepzwart.nl/";"omroepzwart";6;6;5;15;162981;0.833333
2022;"August";"Bantega";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
