"date_year","date_monthnumber","geo_city","site_level2","event_url","m_unique_visitors","m_visits","m_bounces","m_bounce_rate","m_page_loads","m_time_spent_per_visitor"
2022,10,"Leiden","omroepzwart","https://omroepzwart.nl/",85,88,53,0.602273,217,184344.000000
2022,10,"Leiderdorp","omroepzwart","https://omroepzwart.nl/",19,19,14,0.736842,30,84671.800000
2022,10,"Leidschendam","omroepzwart","https://omroepzwart.nl/",17,19,12,0.631579,29,300369.666667
2022,10,"Leimuiden","omroepzwart","https://omroepzwart.nl/",2,2,1,0.500000,4,35041.000000
2022,10,"Lekkerkerk","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Lelystad","omroepzwart","https://omroepzwart.nl/",47,50,32,0.640000,102,166922.052632
2022,10,"Lembeek","omroepzwart","https://omroepzwart.nl/",1,1,0,0.000000,2,12220.000000
2022,10,"Lemele","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Lemelerveld","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Lemmer","omroepzwart","https://omroepzwart.nl/",2,2,1,0.500000,10,193162.000000
2022,10,"Lennik","omroepzwart","https://omroepzwart.nl/",3,3,1,0.333333,6,326189.000000
2022,10,"Lent","omroepzwart","https://omroepzwart.nl/",5,5,3,0.600000,8,37069.000000
2022,10,"Leonberg","omroepzwart","https://omroepzwart.nl/",1,1,0,0.000000,4,39736.000000
2022,10,"Leusden","omroepzwart","https://omroepzwart.nl/",11,12,5,0.416667,47,185059.285714
2022,10,"Leuth","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Lewisham","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Lichtaart","omroepzwart","https://omroepzwart.nl/",1,2,1,0.500000,4,560734.000000
2022,10,"Lichtenvoorde","omroepzwart","https://omroepzwart.nl/",6,7,4,0.571429,14,66485.000000
2022,10,"Lier","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Lierop","omroepzwart","https://omroepzwart.nl/",2,2,1,0.500000,3,15849.000000
2022,10,"Lievelde","omroepzwart","https://omroepzwart.nl/",2,3,1,0.333333,8,182242.000000
2022,10,"Lieveren","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Lijnden","omroepzwart","https://omroepzwart.nl/",5,5,4,0.800000,6,205402.000000
2022,10,"Limmen","omroepzwart","https://omroepzwart.nl/",5,5,2,0.400000,22,435981.666667
2022,10,"Linschoten","omroepzwart","https://omroepzwart.nl/",3,3,1,0.333333,6,73277.500000
2022,10,"Linz","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Lisbon","omroepzwart","https://omroepzwart.nl/",4,4,3,0.750000,6,71645.000000
2022,10,"Lisse","omroepzwart","https://omroepzwart.nl/",14,15,9,0.600000,34,72613.800000
2022,10,"Lisserbroek","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Lith","omroepzwart","https://omroepzwart.nl/",1,1,0,0.000000,2,18887.000000
2022,10,"Lithoijen","omroepzwart","https://omroepzwart.nl/",1,1,0,0.000000,2,42807.000000
2022,10,"Ljubljana","omroepzwart","https://omroepzwart.nl/",1,1,0,0.000000,4,70287.000000
2022,10,"Lochem","omroepzwart","https://omroepzwart.nl/",10,10,8,0.800000,22,138493.500000
2022,10,"Locquirec","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Lodz","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Loenen","omroepzwart","https://omroepzwart.nl/",2,2,2,1.000000,2,0.000000
2022,10,"Loenen aan de vecht","omroepzwart","https://omroepzwart.nl/",4,4,3,0.750000,8,112381.000000
2022,10,"Lollar","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"London","omroepzwart","https://omroepzwart.nl/",12,14,8,0.571429,38,200249.500000
2022,10,"Longford","omroepzwart","https://omroepzwart.nl/",1,1,0,0.000000,4,47648.000000
2022,10,"Loosdrecht","omroepzwart","https://omroepzwart.nl/",4,4,3,0.750000,5,33661.000000
2022,10,"Lopik","omroepzwart","https://omroepzwart.nl/",3,3,2,0.666667,11,225114.000000
2022,10,"Loppersum","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Los angeles","omroepzwart","https://omroepzwart.nl/",2,2,1,0.500000,7,145290.000000
2022,10,"Losser","omroepzwart","https://omroepzwart.nl/",5,5,3,0.600000,16,387400.500000
2022,10,"Lottum","omroepzwart","https://omroepzwart.nl/",2,2,1,0.500000,5,60925.000000
2022,10,"Lufingen","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Lulea","omroepzwart","https://omroepzwart.nl/",6,6,6,1.000000,6,0.000000
2022,10,"Lutjebroek","omroepzwart","https://omroepzwart.nl/",2,2,1,0.500000,8,335067.000000
2022,10,"Luttelgeest","omroepzwart","https://omroepzwart.nl/",1,1,0,0.000000,2,22932.000000
2022,10,"Luyksgestel","omroepzwart","https://omroepzwart.nl/",1,2,1,0.500000,3,328919.000000
2022,10,"Maarheeze","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Maarn","omroepzwart","https://omroepzwart.nl/",2,2,1,0.500000,3,1920.000000
2022,10,"Maarsbergen","omroepzwart","https://omroepzwart.nl/",1,1,0,0.000000,2,66117.000000
2022,10,"Maarssen","omroepzwart","https://omroepzwart.nl/",23,25,16,0.640000,71,658358.428571
2022,10,"Maartensdijk","omroepzwart","https://omroepzwart.nl/",2,3,1,0.333333,6,102226.000000
2022,10,"Maasbommel","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Maasbracht","omroepzwart","https://omroepzwart.nl/",3,3,3,1.000000,3,0.000000
2022,10,"Maasdam","omroepzwart","https://omroepzwart.nl/",2,2,1,0.500000,3,1271648.000000
2022,10,"Maasdijk","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Maasland","omroepzwart","https://omroepzwart.nl/",6,6,5,0.833333,8,14947.000000
2022,10,"Maassluis","omroepzwart","https://omroepzwart.nl/",19,20,11,0.550000,40,179249.222222
2022,10,"Maastricht","omroepzwart","https://omroepzwart.nl/",37,42,27,0.642857,81,120678.466667
2022,10,"Maasvlakte rotterdam","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
